RowID,CaseID,Vol,Page,Order,Group,PreTitle,Forename,Surname,PostTitle,Status,Place1,County1,Place2,County2,Place3,County3
1138,2-1256-05,2,1256,5,,Sir,John Posthumus,Sydenham,bart,infant son of Lady Anne,Brimpton,Somerset,,,,
1139,2-1257-01,2,1257,1,,Sir,Edward,Sydenham,,,Giddy Hall,Essex,,,,
1140,2-1257-02,2,1257,2,,,John,Symes,,,Pownsford,Somerset,,,,
1141,2-1258-01,2,1258,1,,,John,Taylor,,,Itchenor,Sussex,,,,
1142,2-1258-02,2,1258,2,,,Richard,Taylor,,,Earnley,Sussex,,,,
1143,2-1258-03,2,1258,3,,,Daniel,Thelwall,,,Woodford,Essex,,,,
1144,2-1258-04,2,1258,4,,,Francis,Thornes,,,Shellock,Shropshire,,,,
1145,2-1258-05,2,1258,5,,Sir,Charles,Trevannion,,,Carey Heyes,Cornwall,,,,
1146,2-1258-06,2,1258,6,,,John,Tyrer,,attorney of Common Pleas,"Clement's Inn, London",London,Lutley,Worcestershire,,
1147,2-1259-01,2,1259,1,,,Robert,Walker,MP,,Exeter,Devon,,,,
1148,2-1260-01,2,1260,1,,,William,Wandesford,,,London,London,,,,
1149,2-1260-02,2,1260,2,,,John,Were,senior,counsellor at law,Silverton,Devon,,,,
1150,2-1260-02,2,1260,2,,,John,Were,junior,son of John senior,,,,,,
1151,2-1260-03,2,1260,3,,,William,Williams,,,Probus,Cornwall,,,,
1152,2-1260-04,2,1260,4,,,Katherine,,,widow of 6th Lord Windsor,Stoke by Nayland,Suffolk,,,,
1153,2-1260-04,2,1260,4,,,Thomas,,6th Lord Windsor,late,Stoke by Nayland,Suffolk,,,,
1154,2-1260-04,2,1260,4,,,Thomas,,7th Lord Windsor,,Stoke by Nayland,Suffolk,,,,
1155,2-1261-01,2,1261,1,,,Laurence,Winnington,,,The Armitage,Cheshire,,,,
1156,2-1261-02,2,1261,2,,Sir,Thomas,Wolryche,bart,,Dudmaston,Shropshire,,,,
1157,2-1262-01,2,1262,1,,,Thomas,Wood,,,Orchard,Devon,,,,
1158,2-1262-01,2,1262,1,,,Blanche,Wood,,wife of Thomas,,,,,,
1159,2-1263-01,2,1263,1,,Sir,Edward,Alston,,,Alvescot,Oxfordshire,Wimmington,Bedfordshire,,
1160,2-1263-02,2,1263,2,,,William,Barker,,,Uffington,Lincolnshire,,,,
1161,2-1264-01,2,1264,1,,,Philip,,1st Earl of Chesterfield,,,Derbyshire,,,,
1162,2-1264-01,2,1264,1,,,Anne,,Countess of Chesterfield,wife of 1st Earl,,Derbyshire,,,,
1163,2-1264-01,2,1264,1,,,Philip,,2nd Earl of Chesterfield,grandson of 1st Earl,,Derbyshire,,,,
1164,2-1268-01,2,1268,1,,,Charles,Croke,,,,,,,,
1165,2-1268-02,2,1268,2,,,John,Gardner,,,Shrewsbury,Shropshire,,,,
1166,2-1268-03,2,1268,3,,,John,Payne,,,Stoke by Nayland,Suffolk,,,,
1167,2-1268-03,2,1268,3,,,Joan,Payne,,sister and heir of John,,,,,,
1168,2-1269-01,2,1269,1,,,John,Rea,,,London,London,,,,
1169,2-1269-02,2,1269,2,,,Thomas,Whitwick,,,,Warwickshire,,,,
1170,2-1269-03,2,1269,3,,,Edward,Wrench,,,Bostock,Cheshire,,,,
1171,2-1270-01,2,1270,1,,,George,Errington,,merchant,Newcastle on Tyne,Northumberland,,,,
1172,2-1270-02,2,1270,2,,,Henry,Pendleton,,,Manchester,Lancashire,,,,
1173,2-1270-03,2,1270,3,,,Robert,Appleton,,,Newbald,Yorkshire,,,,
1174,2-1271-01,2,1271,1,,,Laurence,Bull,,,Peglinch,Somerset,,,,
1175,2-1271-02,2,1271,2,,,Edward,Colfer,,,Aylsham,Norfolk,,,,
1176,2-1271-03,2,1271,3,,,John,Kelsall,,,Mickle Trafford,Cheshire,,,,
1177,2-1271-04,2,1271,4,,,Thomas,Penkett,,,Sutton,Cheshire,,,,
1178,2-1272-01,2,1272,1,,,Edward,Waller,,,Sikehouse,Yorkshire,,,,
1179,2-1272-02,2,1272,2,,Sir,Evan,Lloyd,bart,,Yale,Denbighshire,,,,
1180,2-1272-03,2,1272,3,,,Bryan,Lukeupp,,,Middleton,Yorkshire,,,,
1181,2-1272-04,2,1272,4,,,Thomas,Maisterson,,,Woodford,Cheshire,,,,
1182,2-1272-05,2,1272,5,,,Lewis,Sandford,,,Compton Dundo,Somerset,,,,
1183,2-1272-06,2,1272,6,,,Anna,Bridgman,,widow of Edward,Barrington,Lancashire,,,,
1184,2-1272-06,2,1272,6,,,Edward,Bridgman,,late husband of Anna,Barrington,Lancashire,,,,
1185,2-1273-01,2,1273,1,,,John,Dutton,,,Sherborne,Gloucestershire,,,,
1186,2-1273-01,2,1273,1,,Sir,Ralph,Dutton,,late,,,,,,
1187,2-1274-01,2,1274,1,,,Nathaniel,Giles,DD,late rector,Newton Longville,Buckinghamshire,,,,
1188,2-1274-01,2,1274,1,,,Nathaniel,Giles,junior,son of Dr Nathaniel,Windsor,Berkshire,,,,
